city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
oda,jp,1854774.0,35.19,132.5,49.9,97.0,88.0,12.97,1553459621.0
kumylzhenskaya,ru,539221.0,49.88,42.59,31.71,94.0,0.0,6.93,1553459604.0
mana,gf,3381041.0,5.67,-53.78,81.22,66.0,88.0,4.7,1553459622.0
avarua,ck,4035715.0,-21.21,-159.78,80.6,94.0,80.0,6.93,1553457600.0
cape town,za,3369157.0,-33.93,18.42,65.79,88.0,0.0,13.87,1553459445.0
tasiilaq,gl,3424607.0,65.61,-37.64,21.2,67.0,92.0,25.28,1553457000.0
cesis,lv,460570.0,57.31,25.27,35.04,74.0,20.0,4.0,1553459439.0
domoni,km,921906.0,-12.26,44.53,85.18,100.0,88.0,6.38,1553459624.0
ribeira grande,pt,3372707.0,38.52,-28.7,59.0,72.0,20.0,8.05,1553457600.0
kapaa,us,5848280.0,22.08,-159.32,71.92,78.0,90.0,11.41,1553459605.0
vaini,to,4032243.0,-21.2,-175.2,77.0,78.0,75.0,9.17,1553457600.0
rikitea,pf,4030556.0,-23.12,-134.97,78.97,99.0,64.0,13.76,1553459621.0
moyale,et,186180.0,3.52,39.05,71.59,67.0,8.0,5.37,1553459626.0
portland,au,2152668.0,-33.35,149.98,59.05,95.0,80.0,8.99,1553459586.0
albany,au,2077963.0,-35.02,117.88,55.4,71.0,90.0,3.36,1553457600.0
aloleng,ph,1731298.0,16.13,119.78,77.08,89.0,0.0,11.18,1553459627.0
qaanaaq,gl,3831208.0,77.48,-69.36,-20.66,86.0,0.0,8.05,1553459627.0
port elizabeth,za,964420.0,-33.92,25.57,71.6,88.0,75.0,16.11,1553457600.0
huarmey,pe,3939168.0,-10.07,-78.15,75.64,63.0,36.0,3.58,1553459628.0
kavieng,pg,2094342.0,-2.57,150.8,82.12,100.0,76.0,8.61,1553459628.0
bluff,nz,2206939.0,-46.6,168.33,61.0,92.0,68.0,5.59,1553459407.0
punta arenas,cl,3874787.0,-53.16,-70.91,57.09,58.0,75.0,29.97,1553459589.0
the valley,ai,3573374.0,18.22,-63.06,80.02,65.0,40.0,17.22,1553459517.0
newport,us,5223593.0,41.49,-71.31,49.05,56.0,1.0,11.41,1553459381.0
bintulu,my,1737486.0,3.17,113.03,74.68,100.0,75.0,2.24,1553457600.0
provideniya,ru,4031574.0,64.42,-173.23,31.99,98.0,88.0,14.09,1553459618.0
busselton,au,2075265.0,-33.64,115.35,49.96,43.0,0.0,17.67,1553459552.0
tomatlan,mx,3981391.0,19.93,-105.25,88.42,33.0,0.0,4.14,1553459632.0
shache,cn,1280037.0,38.42,77.24,40.9,66.0,36.0,6.04,1553459632.0
winnemucca,us,5710360.0,40.97,-117.74,46.76,49.0,75.0,9.17,1553459530.0
vao,nc,2137773.0,-22.67,167.48,78.79,99.0,68.0,17.0,1553459634.0
caravelas,br,3466980.0,-17.73,-39.27,83.2,98.0,44.0,15.32,1553459560.0
guerrero negro,mx,4021858.0,27.97,-114.04,72.49,46.0,12.0,12.64,1553459634.0
westport,ie,2960970.0,53.8,-9.52,46.56,75.0,75.0,13.87,1553459584.0
nuevo progreso,mx,3522013.0,17.14,-95.05,89.32,54.0,0.0,8.84,1553459635.0
kaitangata,nz,2208248.0,-46.28,169.85,63.31,95.0,44.0,2.91,1553459360.0
barrow,us,4252975.0,39.51,-90.4,60.37,82.0,90.0,3.36,1553459543.0
dolores,ar,3435038.0,-36.31,-57.68,62.5,74.0,100.0,22.93,1553459414.0
hobart,au,2163355.0,-42.88,147.33,55.56,41.0,20.0,31.09,1553459596.0
vidim,ru,2013406.0,56.41,103.11,10.39,56.0,32.0,4.59,1553459636.0
ponta do sol,cv,3374346.0,17.2,-25.09,73.4,56.0,75.0,12.75,1553457600.0
okha,ru,2122614.0,53.59,142.95,20.74,92.0,88.0,12.19,1553459637.0
torbay,ca,6167817.0,47.66,-52.73,35.55,80.0,20.0,21.92,1553459466.0
broome,au,2075720.0,-17.97,122.23,78.8,94.0,40.0,4.7,1553457600.0
georgetown,sh,2411397.0,-7.93,-14.42,81.85,100.0,80.0,9.73,1553459638.0
thompson,ca,6165406.0,55.74,-97.86,21.2,31.0,20.0,9.17,1553457600.0
yellowknife,ca,6185377.0,62.45,-114.38,21.87,57.0,75.0,18.34,1553459406.0
tuktoyaktuk,ca,6170031.0,69.44,-133.03,17.6,78.0,20.0,6.93,1553457600.0
ushuaia,ar,3833367.0,-54.81,-68.31,59.0,33.0,40.0,8.05,1553457600.0
marquette,us,5000947.0,46.54,-87.4,26.37,68.0,75.0,19.46,1553459581.0
inirida,co,3671450.0,3.87,-67.92,79.96,89.0,44.0,2.46,1553459640.0
yulara,au,6355222.0,-25.24,130.99,77.0,50.0,24.0,12.75,1553457600.0
cap malheureux,mu,934649.0,-19.98,57.61,78.89,83.0,75.0,9.17,1553459639.0
bethel,us,5880568.0,60.79,-161.76,33.8,100.0,90.0,21.92,1553458560.0
san ramon,bo,3905088.0,-13.27,-64.62,82.24,79.0,75.0,6.93,1553457600.0
hermanus,za,3366880.0,-34.42,19.24,66.0,92.0,56.0,2.68,1553459445.0
margate,za,978895.0,-30.86,30.37,76.36,88.0,88.0,12.97,1553459377.0
lebu,cl,3883457.0,-37.62,-73.65,55.75,91.0,0.0,23.15,1553459643.0
mount isa,au,2065594.0,-20.73,139.49,78.8,78.0,75.0,13.87,1553457600.0
geraldton,au,2070998.0,-28.77,114.6,69.8,32.0,0.0,27.51,1553457600.0
udachnyy,ru,2014624.0,66.42,112.4,-15.35,43.0,0.0,2.46,1553459644.0
new norfolk,au,2155415.0,-42.78,147.06,55.56,41.0,20.0,31.09,1553459596.0
hilo,us,5855927.0,19.71,-155.08,69.31,83.0,90.0,8.05,1553459609.0
pisco,pe,3932145.0,-13.71,-76.2,71.6,30.0,0.0,20.8,1553457600.0
manzanillo,mx,3996663.0,19.05,-104.32,82.4,69.0,5.0,11.41,1553456760.0
